book_id,title,isbn13,language_name,publisher_name,customer_id,order_id,author_name,cover_image_url,published_year,genres,,,,,
1,The World's First Love: Mary  Mother of God,8987059752,United States English,Ignatius Press,408,816,Fulton J. Sheen,https://covers.openlibrary.org/b/isbn/8987059752-L.jpg,1996,Romance,,,,,
2,The Illuminati,20049130001,English,Thomas Nelson,532,1064,Larry Burkett,https://covers.openlibrary.org/b/isbn/20049130001-L.jpg,2004,General,,,,,
5,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,49086007763,English,Cliffs Notes,382,763,W. John Campbell,https://covers.openlibrary.org/b/isbn/49086007763-L.jpg,1983,General,,,,,
5,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,49086007763,English,Cliffs Notes,505,3510,W. John Campbell,https://covers.openlibrary.org/b/isbn/49086007763-L.jpg,1983,General,,,,CREATE TABLE book_data (,
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,488,4976,Eric Bentley,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,"    id INT IDENTITY(1,1) PRIMARY KEY, ",
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,488,4976,Lope de Vega,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,"    book_id NVARCHAR(MAX),    ",
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,488,4976,Miguel de Cervantes Saavedra,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,"    title NVARCHAR(MAX),           ",
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,488,4976,Pedro Calderón de la Barca,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,"    isbn13 NVARCHAR(MAX),            ",
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,488,4976,Roy Campbell,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,"    language_name NVARCHAR(MAX),               ",
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,488,4976,Tirso de Molina,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,"    publisher_name NVARCHAR(MAX),",
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,675,3850,Eric Bentley,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,"customer_id NVARCHAR(MAX),"
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,675,3850,Lope de Vega,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,"order_id NVARCHAR(MAX),"
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,675,3850,Miguel de Cervantes Saavedra,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,"author_name NVARCHAR(MAX),"
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,675,3850,Pedro Calderón de la Barca,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,"cover_image_url VARCHAR(2083),"
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,675,3850,Roy Campbell,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,"published_year NVARCHAR(MAX),"
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,675,3850,Tirso de Molina,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,genres NVARCHAR(MAX)
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,386,772,Eric Bentley,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,),
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,386,772,Lope de Vega,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,386,772,Miguel de Cervantes Saavedra,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,386,772,Pedro Calderón de la Barca,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,386,772,Roy Campbell,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,73999140774,English,Applause Theatre & Cinema Book Publishers,386,772,Tirso de Molina,https://covers.openlibrary.org/b/isbn/73999140774-L.jpg,2000,Fiction,,,,,
7,William Goldman: Four Screenplays,73999254907,United States English,Applause Books,693,1385,William Goldman,https://covers.openlibrary.org/b/isbn/73999254907-L.jpg,2000,Children Literature,,,,,
8,The Season: A Candid Look at Broadway,73999768442,English,Limelight,161,6421,William Goldman,https://covers.openlibrary.org/b/isbn/73999768442-L.jpg,2004,General,,,,,
10,Working Effectively with Legacy Code,76092025986,English,Prentice Hall,392,4784,Michael C. Feathers,https://covers.openlibrary.org/b/isbn/76092025986-L.jpg,2004,Biography,,,,,
10,Working Effectively with Legacy Code,76092025986,English,Prentice Hall,111,4221,Michael C. Feathers,https://covers.openlibrary.org/b/isbn/76092025986-L.jpg,2004,Biography,,,,,
12,Plants Bite Back! (DK Readers),6.35517E+11,English,DK Publishing (Dorling Kindersley),118,4236,Richard Platt,https://covers.openlibrary.org/b/isbn/635517047547-L.jpg,1999,General,,,,,
13,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,6.45241E+11,English,Conari Press,1054,1804,Mark Nepo,https://covers.openlibrary.org/b/isbn/645241001173-L.jpg,2000,General,,,,,
14,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,6.94055E+11,English,Ryland Peters & Small,182,5564,Jason Lowe,https://covers.openlibrary.org/b/isbn/694055000612-L.jpg,2001,General,,,,,
14,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,6.94055E+11,English,Ryland Peters & Small,182,5564,Maxine Clark,https://covers.openlibrary.org/b/isbn/694055000612-L.jpg,2001,General,,,,,
14,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,6.94055E+11,English,Ryland Peters & Small,182,5564,Ursula Ferrigno,https://covers.openlibrary.org/b/isbn/694055000612-L.jpg,2001,General,,,,,
14,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,6.94055E+11,English,Ryland Peters & Small,9,4018,Jason Lowe,https://covers.openlibrary.org/b/isbn/694055000612-L.jpg,2001,General,,,,,
14,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,6.94055E+11,English,Ryland Peters & Small,9,4018,Maxine Clark,https://covers.openlibrary.org/b/isbn/694055000612-L.jpg,2001,General,,,,,
14,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,6.94055E+11,English,Ryland Peters & Small,9,4018,Ursula Ferrigno,https://covers.openlibrary.org/b/isbn/694055000612-L.jpg,2001,General,,,,,
17,The Mystery on the Mighty Mississippi,7.1043E+11,English,Carole Marsh Mysteries,124,6347,Carole Marsh,https://covers.openlibrary.org/b/isbn/710430023639-L.jpg,2001,Mystery/Thriller,,,,,
18,Programming in C,7.52063E+11,English,Sams,249,2997,Stephen G. Kochan,https://covers.openlibrary.org/b/isbn/752063326664-L.jpg,2004,Technology,,,,,
19,PHP and MySQL Web Development (Developer's Library),7.52063E+11,United States English,Sams,387,3273,Laura Thomson,https://covers.openlibrary.org/b/isbn/752063326725-L.jpg,2004,Technology,,,,,
19,PHP and MySQL Web Development (Developer's Library),7.52063E+11,United States English,Sams,387,3273,Luke Welling,https://covers.openlibrary.org/b/isbn/752063326725-L.jpg,2004,Technology,,,,,
20,Manhunt Official Strategy Guide,7.52073E+11,English,BradyGames,1330,2080,Tim Bogenn,https://covers.openlibrary.org/b/isbn/752073003227-L.jpg,2003,Business/Economics,,,,,
20,Manhunt Official Strategy Guide,7.52073E+11,English,BradyGames,325,5849,Tim Bogenn,https://covers.openlibrary.org/b/isbn/752073003227-L.jpg,2003,Business/Economics,,,,,
21,Living La Dolce Vita: Bring the Passion  Laughter  and Serenity of Italy Into Your Daily Life,7.6079E+11,English,Sourcebooks,88,6276,Raeleen D'Agostino Mautner,https://covers.openlibrary.org/b/isbn/760789719271-L.jpg,2003,Romance,,,,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,7.85342E+11,United States English,Peachpit Press,596,1191,Dave Shea,https://covers.openlibrary.org/b/isbn/785342303476-L.jpg,2005,Spiritual/Religion,,,,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,7.85342E+11,United States English,Peachpit Press,596,1191,Molly E. Holzschlag,https://covers.openlibrary.org/b/isbn/785342303476-L.jpg,2005,Spiritual/Religion,,,,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,7.85342E+11,United States English,Peachpit Press,365,4730,Dave Shea,https://covers.openlibrary.org/b/isbn/785342303476-L.jpg,2005,Spiritual/Religion,,,,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,7.85342E+11,United States English,Peachpit Press,365,4730,Molly E. Holzschlag,https://covers.openlibrary.org/b/isbn/785342303476-L.jpg,2005,Spiritual/Religion,,,,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,7.85342E+11,United States English,Peachpit Press,155,6409,Dave Shea,https://covers.openlibrary.org/b/isbn/785342303476-L.jpg,2005,Spiritual/Religion,,,,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,7.85342E+11,United States English,Peachpit Press,155,6409,Molly E. Holzschlag,https://covers.openlibrary.org/b/isbn/785342303476-L.jpg,2005,Spiritual/Religion,,,,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,7.85342E+11,United States English,Peachpit Press,719,3938,Dave Shea,https://covers.openlibrary.org/b/isbn/785342303476-L.jpg,2005,Spiritual/Religion,,,,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,7.85342E+11,United States English,Peachpit Press,719,3938,Molly E. Holzschlag,https://covers.openlibrary.org/b/isbn/785342303476-L.jpg,2005,Spiritual/Religion,,,,,
24,Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,7.85342E+11,British English,Addison-Wesley Professional,92,6883,Robert Sedgewick,https://covers.openlibrary.org/b/isbn/785342314526-L.jpg,1997,Children Literature,,,,,
25,Healing Therapies for Overcoming Insomnia,7.98499E+11,English,Crystal Clarity Publishers,134,2768,Peter Van Houten,https://covers.openlibrary.org/b/isbn/798499100096-L.jpg,2005,General,,,,,
25,Healing Therapies for Overcoming Insomnia,7.98499E+11,English,Crystal Clarity Publishers,134,2768,Rich McCord,https://covers.openlibrary.org/b/isbn/798499100096-L.jpg,2005,General,,,,,
